nam dosan aku juga mau dong dikado yang buat gosokan yang buat isah isah itu
@Ardina_NH @AkabaneKeiko @parkkm4n @Jeffreysyahid Hanjipyeong di pertemukan pertama sama dalmi tapi yg jadian dosan… https://t.co/9neqXjmDEp
@iMeowQ FUCKKAHEWAJWB NOT DOSAN
Sudah cocok menjadi Nam Dosan https://t.co/xyqWRAO7GJ
"@PIPLOYBOX @SANDBOXCLSD Dare pake foto ini sampe cd 

-dosan https://t.co/UnDCTRMAwP"
"@MeraihCitaCita Yaampun sama, aneh-aneh aja udah pada besar malah ributin tim suho tim dosan"
@kyudammyy Ak tim dosan 😳
O Dosan seria o taehyun https://t.co/90aqXn47mr
kesel sendiri sama dosan:(
@sweetlopyo Yoi tim jipyeong tapi semangat dosan😂✊
@tubbirfess Anjim kenapa harus jipyeong sama dosan akwoakwoakw https://t.co/gNOWleiwkx
"tai banget setelah dosan vs jipyeong gua ngeside jipyeong yang emang obviously second lead, sekarang suho vs seojun… https://t.co/pgJf3sRihp"
Sebenernya banyak peluang si ji pyeong kalo mau dapetin dalmi tapi kalo takdir berkata lain mau ji pyeong jungkir b… https://t.co/TjTbeaxpP1
"@nyakvir Sebagai calonnya dosan, aku gabisaaa"
"Ketika tt isinya Jipyeong dosan, aku yg gabut bacain tweets orang2 heu https://t.co/TuT01PUPKw"
"@wonpilwipol awalnya dulu tim jipyeong sih, tp dia labil bgt ah jd males, trus malah jadi tim dosan sampe tamat, wa… https://t.co/Rh0FOfPrwk"
"Cocok kek dalmi sama dosan. tp aku yg gak ridhoo, piye dong?"
@gmpngpileq @tubbirfess ANYING NAPA JADI JIPYEONG DOSAN SKWKWK
@7taez nam dosan 😞
"RT @retorikafisipua: Tim Han Jipyeong atau Nam Dosan? Yuk, lihat pelajaran yang bisa kita ambil dari Drama Korea ""Start-Up""!☺ https://t.co/…"
@weeeakly POKOKNYA ITU ABIS SCENE DOSAN KETEMU NENEK DI TOKO CORNDOG YG BARUU terus si nenek ke apart jipyeong dian… https://t.co/xTRkI4Fqz2
tapi aku tim dosan sih :(
Dosan nangis mulu ya astagaaaa 😭
"TAPI DOSAN KALO SENYUM RADA ANEH GA SI, LEBIH BAGUSAN MODE GALAK JDI AHSHSHHSHSHSHSHHSHSHS, TERUS KALO HAN JI PYEONG, GANTENGAB PAS SENYUM?"
"EH SUMPAH YA GUA BERHARAP BGT ADA ADEGAN DOSAN LAMAR DALMI
BIAR GUA NGERASA DILAMAR JUGA"
"@kakkoine Iyaa juga sih, menang banyak Dosan. 🤭"
WEW GUA KIRA ADA ADEGAN DOSAN LAMARNYA
@morpheovs kamu sadar gak di ep 15 pas preview next episode itu previewnya ada Dosan ngelamar Dalmi pas lagi speech… https://t.co/UEiVsDM3Eq
dosan dalmi lucu juga
apa kabar yg ngatain nam dosan manipulative kalo nonton akito di fruit basket ya
@kakkoine Tapi realitanya kamu mengalahkan Dosan wkwkwk
"tpi ngl ending start up kurang gasi, kurang brasa feel endingnya. kyk tbtb menang tender terus nikah aja. gw kira b… https://t.co/VXV1A9AFmV"
"@bayu_joo Semalem abis mimpiin nam dosan jadi tukang baju keliling, padahal mikirin dia aja kagak :’)

Apa itu tand… https://t.co/4sWFMpxxa8"
"@itbfess Ada, kalo pinter nyari, tapi biasanya ada penjaganya, yakali orang seganteng nam dosan jomblo"
@bearchocol Aku tim dosan dong
@kyarameaal @springnfaIl aku suka scene han jipyeong sm neneknya atau han jipyeong dalmi tp gasuka scene yg ada dosan :(
@MARK88LEE Yg lain fokus ke jipyeong ma dosan lu ke dia. Salah fokus
@kimchicharin dosan sdh brsama dlmi jgan ganggu org tua ak
"@jeteevois mirip gak yak,,,,, ak jwbnya kl ak ud pcran sm dosan ngokeyy"
dosan wibu juga padahal https://t.co/ahwTURSVb8
@suznotsuz gue pas nonton dosan keinget dia tau hahahaha.
Itb! Andaikan anak informatika ada yg kek nam dosan
@sukanyasambat_ eh yg bodoh dosan dalmi doang yg lainnya engga
"I hate liars so i really hate that Nam Dosan lied to Dalmi. Dosan is a good but insecure guy, tipu orang tetap tak… https://t.co/jbi3fHuvtp"
"@sukanyasambat_ wkwkwkk karakter dosan tuh nyebelin tauu...
itu drakor ga gue lanjutin lagi
pemainnya pada bodoh2:("
@tubbirfess ternyata dosan dan ji pyieong selama ini adalah ...@glucklichkeiten
"se gercep apapun dosan, gw tetap team #Hanjipyeong karena fix gerah dideketin orang secara intense gitu. apalagi ka… https://t.co/X9qIEvH9Wj"
"@bangsaatlu jangan lupa sarapan yaa, dosan!"
"@FVCKB1TJ Biar semakin males gw kasi tau.
Dalmi sama dosan nikah punya perusahaan gede dalmi CEO dosan CTO udah intinya itu wkwkwk"
"Tim Han Jipyeong atau Nam Dosan? Yuk, lihat pelajaran yang bisa kita ambil dari Drama Korea ""Start-Up""!☺ https://t.co/WdCnuRtCkI"
@tubbirfess 4Bermain dong 😭 jadi pudidi tarmidji ini nama lain jipyeong dosan apa gimana 😂
@tubbirfess Jipyeong dan dosan tuh kembar ternyata 😭
@tubbirfess HEH NGAKAK BGT JIPYEONG DOSAN😭😭😭😭😭😭 @midzummer
@Jeffreysyahid Ok aku mndpat spoiler start up dsni dalmi nnti brsma dosan soxisnsisos
@tubbirfess @noona_snow t-ternyata selama ini jipyeong dan dosan adalah....
Kenapa jipyeong dan dosan😭🔫
WKWKWWKWKWK pudidi tarmidji jipyeong dosan https://t.co/thhkLrTDbE
NAMA HANJIP DOSAN ADA DISINI AWKWK https://t.co/1BJxr9iGYi
"dia nanya gue kan ""ini si cewe ini nanti sama siapa endingnya"" terus gue jawab ""sama si dosan"" abis itu dia bilang ""lahh nggak enak dong"""
"@jaesixs2 Dapat hoax darimana ini? 😅
Des 2019 itu suzy baru nerima tawaran maen start up. Mereka syuting selama 8 b… https://t.co/6YVRiO0zKM"
jadi yang dapet cewe start up jipyeong atau dosan?
"Caca emosi sama dosan sama dalmi, masa gk berterima kasih sama jipyeong krna udh nulis surat itu, ihh logika aja kl… https://t.co/LW4ffiXtQa"
@Pnjctama @kentangmekdonal dia sukanya sama dosan bukan sama ji-pyeong. kalo aku sukanya sama Ji-pyeong nih....
@dhila3O4 ternyata mb Hay team Dosan😄
Baru sadar disini abis blng dia suka lagu winter child nya suzy abis itu ngacungin jempol kek Dalmi ngacugin jempol… https://t.co/KXFpQHttQK
nonton dosan dulu
@pecelrere_ Nam dosan klo liat kamu nulis gini jdnya nam dosa
@JeromePolin @taelurceplokk Apakah kamu Nam Dosan?
"@CL0SERJN Pas pertama itu jipyeong pas udh gede tim dosan, jipyeong lebih enak jdi sibling dalmi"
RT @namzybit: missing skawngur and skuukzky 😌 https://t.co/1WjZ0jteBo
"Nonton start up trs ngeliat dosan, ngerasa dia mirip bgt sama temen. Bukan look, tapi karakternya."
@gopayindonesia @gopaypromo Kamu tim nam dosan? Atau han jipyeong? Kalo aku sihh tim nonton start-up terserah jalan… https://t.co/MeQRr2xhUc
"Kenal joohyuk di drama school 2015 cuma nonton drama itu dan startup gara2 bucin dosan, ini otw nonton dazzling 😆 #NamJooHyuk"
Dari start up pun membuktikan ya. Sekecewa2 nya dalmi sama dosan kalo udah terlanjur sayang ya balik lagi. Tapi ema… https://t.co/ogdCpkvlZL
@mwoominjun mmf tp ak tim dosan cha😓✌🏻
butuh nam dosan....
"@wonpilwipol serius aku nonton start up juga cuma mau liat karakter jipyong, kek dia baik banget asli. tapi di eps… https://t.co/0Ir3tTV7OI"
@wonpilwipol Ayoo nonton startup nanti jadi tim dosan
@bangsaatlu nem dosan dah sarapan belom ni
@kaharmasyhur berlayar tanpa peta seperti nam dosan
"@Jsngchn_ @drakorfess_ Masih aman,, netijen indo sejauh ini masih tim dosan tim jipyeong..."
"Ya Allah gw mimpiin nam do san.
Di mimpinya, gw sama nam dosan tuh athlete renang Hee😭😭 dan kita tuh deket bangett… https://t.co/3V1aySMlPd"
@erma_hayfau Kalo team dosan kasih tau
udah perpanjang netfliks. eh dalmi sama dosan. trus udeh nih netfliks gua kaga kepake
@Maloupitt2 @MiguelOdron Woooh Dosan ❤️
pagi pagi harusnya mendengarkan running biar semangat dan keinget nam dosan
@DionMulya Nam dosan?
"@YaelahZiva Start up!!!!!! Gw lagi nonton barusan episode 7.
Mo nanya dong ntar endingnya seo dalmi jadi sama siapa? Pak han atau nam dosan?"
nam dosan 🥺💖
pengen dibelain kaya Dosan yg selalu belain Dalmi.
sakit bgt liat jipyeong sama dosan brntm fakkkkkk
Kenapa sekilas aku liat dosan tu kaya haruto ya😭
@faizsadad_ Terus lu team han ji Pyong apa team Dosan bang ?
dosan dalmi lucu jg ya...
"nam dosan: h-
me: https://t.co/Vn5zan4wed"
@pokonyaakuorang Sama dosan itu hanya setinggan
Mak bapaknya dosan lawak banget😭
Setelah maraton 3 hari 16 eps. Ku bisa menyimpulkan bahwa saya adalah tim Dosan
@ininindya Aku blm bs move on dr dosan dalmi 😔
Han ji pyeong ganteng si tp sifatnya ga gercep kek dosan:(
bestnya jadi dosan
Gua bukan demen ama #startup ya gua demennya ama #Hanjipyeong dan halmeoni tolong catet dalmi dosan samsan team mah pret semua
WKWK YAWLLA knp w paling benci liat orang agak ogok nam dosan pen w ceburin dah ke sungai banyakan hah hah nya kek… https://t.co/T6xUTtypst
@patheticher @fenalyas tim dosan
"anjim bgt ihhhh sama si dosan udah ah males, org2 dah kmn, ak br dpt emosinya 👋🏻 bye"
yang nulis surat jipyeong tapi make nama dosan dan katanya cinta pertama dalmi itu waktu mereka bales bales surat b… https://t.co/b369P94Ila
@fenalyas nnton &amp; blg k w tim syp wkwkwk jgn smpe dosan😌
gue awal awal tim dosan tapi ko akhir akhir malah liat jipyeong jadi oleng pliss gue jadi sedih liat dia 😭
Cheer up dosan! Tenang ajaa ada dalmi yang bakal nemenin kamu saat tidak memiliki tujuan yang jelas. Dalmi yang sem… https://t.co/3f6PhDk6ZB
"Liat joohyuk disini berasa napas seger setelah lelah sama dosan 😂

https://t.co/rM0A5u8xCK"
ha ha aku sayang jipyeong tp #teamdosan karenaa a aa aa aaa tiga tahun anjir dosan di Amerika masih belum ada progr… https://t.co/piES8WGzP1
Team dosan .. soalnya hati aku k nam joo hyuk oppa 🤭
nam dosan kalo jadinya ngajar jadi nam dosen
@fatalelovesong Nam joohyuk qui jour nam dosan dans le drama start-up (netflix)! https://t.co/T6AuArmhbz
"RT @sh_baragi: Tim pak han, tim dosan dan tim mangtengin war nya tiap minggu di twitter😌

 #StartUp #StartUpEp11 https://t.co/TWCqgWOhqo"
"@DEMEKclsd @NJHdmk welcome dosan, gimana udh nikah sama dalmi kan?"
@Jaethyn Menurut gua lanjutannya nam dosan sama seo dalmi
typo lgi dosan janchu
nam dosan
"@__sebelahkiri dosan sama dalmi, jipyeong sama aku😭"
Kalo dipikir2 dosan dalmi ini nyusahin jipyeong aja gk si..
"@kthviey JIPYONGGGGG, gils ini dosan gawe nya apa si wkwkwkw"
dosan ni bernafas pun annoying
"RT @elivaa_: @andihiyat Tanpa ji pyeong, Dalmi-Dosan hanya cod an bola baseball hyungg"
kapan ya punya meja kek mejanya dosan :(
"tidak kusangka setelah nonton start up
aku team dosan"
Respon seorang han jipyeong yang cuma megang ujung jarinya nam dosan pas dikasih kesempatan buat bekerjasama lagi t… https://t.co/ROTL0LYyR3
@rockieastro bosan kamu itu temennya dosan ya?😀
@wonuwife_ t-tapi tetep aja akhirnya dalmi dosan HAHAHAHAHA
@wonuwife_ ga lah uda paling pas dalmi sama dosan😌😗
Tim Dosan bisa nyari tau ga ya 🥺 https://t.co/bU8xDs3NBY
@syamellllll ALAAAAAAAAA. Baru sampai 5 takat ni masih team dosan
@Jeffreysyahid jipyeong ckep bgt tp dosan ttp di hati ueueue
"kinda late since i dont really like the hype, gue tim dosan 60:40 jipyeong. alesannya karena jipyeong lelet bgttt k… https://t.co/cmdonFbgpJ"
"Hello
Inget cerita si indh ?
Kmrin mmh mrtua dtng k rmh, crt² trs muncul lg nama itu --""
Ktnya untung ada indh yg a… https://t.co/EqIZxhCmIy"
@doainakuggmage km suka dosan ya ^_^
@fakthislife Baru sampe episode 4 tapi sebel sama Dosan. 😤
"@stanmenfess bahasa isyarat, inspired by my luvly dosan eh dosen wkwkwkwkwkk"
@pilumembara dosan dr dlu emg ckep bgtttt. dari awal drakor yg weightlifting fairy kim bok joo 😭
dosan pinter ah segitumah ni haters2 yg bilang doi bisanya nangis doang emangnya u ngerasa pinter hah
Bukan nyanyiin soundtrack-nya startup malah nyanyi BCL. kirim akuuuuuu malaikatmuuuu (yang kek Dosan)
"@COMRADlANS Sama pokoknya, apalagi pas liat foto wedding dosan dalmi anj. Hati gua langsung kretek. 💔"
@notasavagegal Kan nyesel si ga tim dosan 🤣
finally habis tengok start up hehehehe tapi sedih sbb tak bnyk sweet scene dosan dgn dalmi :(((
"keinget choi taek sama dokseon sih nontonnya :( persis banget, soalnya kalo ngga dokseon siapa lagi yang kuat sama… https://t.co/I1iPpWUqSw"
@namstin nam dosan😌
@kdramavbs bisa kok!! itu yg stiker team dosan harganya cuma 6ribuan👍👍
"RT @dwinawan_: Beberapa team di dunia ini:

- Team Bubur diaduk &amp; Team Bubur tanpa diaduk

- Team Figma &amp; Team Sketch

- Team DoSan &amp; Team…"
"Baru nonton start up sampe ep.5.
Cuma katanya di akhir dalmi pilih dosan yak?
So far, aku paham si kenapa dalmi pilih dosan."
"@gryffxindor @ENHYPEN_members @ENHYPEN YATUHAN FLISH Q TIDA LIHAT KALO ITU DOSAN. Q GTW DOSAN TEU SAHA😭

LET ME IN… https://t.co/mHERulqmjd"
GUA TIM JIPYEONG TAPI AKHIRNYA DIA SM DOSAN? ANJENG PLIS BARU EPS 10  SIALAN DAH TAU ENDINGNYA 💔💔😖
@squidwardfess gua tim dosan sih
ohhhhh kamu team nam dosan ok byeee https://t.co/bF2y4N3bXX
@louisalviantoo @sheilafaiha Isinya ji pyong to jgn pk dosan
"@rizkaayudina wkwk gw awalnya dosan, trs goyah dipertengahan ke ji pyong. tp di akhir kayanya lbh ke dosan! wkwkw bingung anjeeeenk"
@DionMulya Dosan mulya😭😭😭😭
@aimiabdrahman Jipyeong ke dosan? Dosan mcm out je. Dok saboh dgn cerita ni
Mau kayak Nam Dosan.
Nam dosan versi indo https://t.co/HnUuX8PPFZ
"RT @jeikkes: @gryffxindor jipyeong, tp aku suka sifat dosan yg mau mencoba dan tetep semangatttt
LET ME IN TEASER 1 IS OUT NOW

#BORDER_DAY…"
"@gryffxindor jipyeong, tp aku suka sifat dosan yg mau mencoba dan tetep semangatttt
LET ME IN TEASER 1 IS OUT NOW… https://t.co/XiTDkh18hG"
W sering kesel sama drakor kalo happy ending tapi kesel juga liat startup kenapa endingnya sama dosan???? Like u bu… https://t.co/lzWaaaYRVB
"RT @szrbsz: Korea #3

#ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁 #NAMJOOHYUK #Dalmi #Dosan"
"zoa mau freepass??

tim dosan silahkan keluar dulu yah. https://t.co/IVmzWTVYbM"
jipyeong / dosan ?? jwb pake # 😾‼️
"NAM DOSAN  /  HAN JIPYEONG??!!

# nya jgn lupaa"
aku tim jipyeong tp dosan gemes anjing
"@oohsehunindo_ @skdlfk_laa Idih dedek 

Iyadeh tante, ngga mau ngajak war kok. Cuma mau ingetin jangan suka nuduh,… https://t.co/qQY9kpiRmw"
nam dosan loml
"RT @K_DramaIndo: SANDBOX adalah anagram dari DOSAN BX = Dosan BerKali2

Jadi sekalipun ada Jipyeong, Dalmi bakal milih Dosan berkali2 ✌
Dos…"
@pinkfongg SAMA NIH GUA LAGI NYARI MODELAN DOSAN
Dosan hoki doang.
@dumbbbbyy @aisennav kalau love story dosan kalau about brain 100 jipyeong la. no debat.
Aku tim dosan dan dikucilkan
"Baru selesai nonton start-up episode 1, kerenn pisann, rada telat sih nontonya. Apakah aku akan menjadi tim dosan atau jip-yeong yaa 😂"
"@vurilstr_ @TemanJongkok Benul, bunuh dosan"
kayaknya kalo dia meluk cewe kayak dosan meluk dalmi gitu deh;;___;; https://t.co/B6uQAyn1VA
"@biasfess Avv idung gw basah tanggung jawab nihh
Carat mah yaa kalo war sama carat juga, antara tim hamzzi sama tim… https://t.co/bsuVb74ZHn"
"aku bukan sotoy ya aku cuman liat doang
udh ada contoh kek start up kok
kalian liat kan orng pd ituin dosan karena… https://t.co/CtBT9FlPL0"
Han ji pyeong emang bikin oleng. Tapi aku tim nam dosan
"si dosan tinngginya 187, se adek aku (. ❛ ᴗ ❛.)"
@luvenacaluella DOSAN SIA😭😭😭😭😭
baru nonton startup gw team dosan  dri awal 😃 ga sreg bgt sm sifat nya si jipyeong 😂😂
"@vaiaiaaaaaa yap!
kek start up kak..orng pd mikir dan bilang kalo dosan first lead pdhl dosan dr awal kan bukan sia… https://t.co/y0MRmRzrKH"
Aku masih belum move on dari Nam Dosan 🙄 kenapa orang-orang ga suka sama dia? 😔
"@kursorawal Jadi tim siapa??
Dosan atau jipyeong??
☺️"
"Mau jadi programmer kaya dosan tp ngodingnya javascript sambil jadi investor kaya jipeong, biar bisa danain startup… https://t.co/CXzUEra7C0"
@ThyaSimatupang Ndak! Saya sebagai tim ji-pyeong tidak menerima kemenangan dosan.
"RT @szrbsz: Korea #3

#ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁 #NAMJOOHYUK #Dalmi #Dosan https://t.co/zzZhnNTtcd"
@farahanaakibs euw hahahah apa ni saya jadi marah bila orang compare kan dia dengan dosan. tapi oh okay dosan takpe… https://t.co/SPXT4YHMz1
dALMI DOSAN GEMES BGT KENAPASIKK😭😭😭 temen2 gua yg tim jipyeong pada kaga kelarin start up gara2 udh potek duluan👎👎👎
@lovejooch Dah 😭😭😭 baru habis petang tadi uwaaaa cewdih sbb tak puas tengok dosan n dalmi
apesi dosan gjls bgt anj
Ada ke lelaki yang matang macam Han Ji Pyeong? Sekarang baru aku tahu kenapa Dalmi akan pilih Dosan walaupun betapa… https://t.co/wAjiOp2yDK
So aku baru tengok video seonho cerita dia pernah kena dump ngan awek dia masa dia serve military. Sedih la dia cit… https://t.co/oJiiEyZtQl
"Abis namatin start up, sumpah dosan gada adab"
@cidiayucw @akunisa__ Kalian bertiga gak ada yg tim dosan?
"Kalo nam joohyuk kan Nam Dosan ya, kalo @skhawngur mah Nambah Dosa"
@SK_TwiceMomo96 Sama dosan mah di hp banyak akunya aja mager on app:(
"Korea #3

#ThankYouStartUp #배수지 #수지 #SUZY #스타트업 #StartUp #서달미 #남주혁 #NAMJOOHYUK #Dalmi #Dosan https://t.co/zzZhnNTtcd"
"aku: team dosan
aku juga: sukk sama lakik yang kaya jipyeong"
